"","scri_sample_id","sample_type","sample_filter","fc","fc_methodf","fc_methodm","fc_methodc"
"80","acap_579","grabsample","membrane",50,"sm9222d","sm9222","membranefiltration"
"81","acap_570","grabsample","membrane",0,"sm9222d","sm9222","membranefiltration"
"82","acap_577","grabsample","membrane",30,"sm9222d","sm9222","membranefiltration"
"83","acap_578","grabsample","membrane",40,"sm9222d","sm9222","membranefiltration"
"84","acap_574","grabsample","membrane",25,"sm9222d","sm9222","membranefiltration"
"85","acap_1256","grabsample","membrane",3275,"sm9222d","sm9222","membranefiltration"
"86","acap_1259","grabsample","membrane",4095,"sm9222d","sm9222","membranefiltration"
"87","acap_1249","grabsample","membrane",875,"sm9222d","sm9222","membranefiltration"
"88","acap_1254","grabsample","membrane",1900,"sm9222d","sm9222","membranefiltration"
"89","acap_1260","grabsample","membrane",4150,"sm9222d","sm9222","membranefiltration"
"90","acap_1258","grabsample","membrane",3650,"sm9222d","sm9222","membranefiltration"
"91","acap_1229","grabsample","membrane",80,"sm9222d","sm9222","membranefiltration"
"92","acap_1255","grabsample","membrane",2488,"sm9222d","sm9222","membranefiltration"
"93","acap_1257","grabsample","membrane",3613,"sm9222d","sm9222","membranefiltration"
"94","acap_1315","grabsample","membrane",21650,"sm9222d","sm9222","membranefiltration"
"95","acap_1317","grabsample","membrane",29925,"sm9222d","sm9222","membranefiltration"
"96","acap_1319","grabsample","membrane",33075,"sm9222d","sm9222","membranefiltration"
"97","acap_1316","grabsample","membrane",26775,"sm9222d","sm9222","membranefiltration"
"98","acap_1312","grabsample","membrane",13550,"sm9222d","sm9222","membranefiltration"
"99","acap_1309","grabsample","membrane",7088,"sm9222d","sm9222","membranefiltration"
"100","acap_1306","grabsample","membrane",4770,"sm9222d","sm9222","membranefiltration"
"101","acap_1297","grabsample","membrane",1150,"sm9222d","sm9222","membranefiltration"
"102","acap_1321","grabsample","membrane",42920,"sm9222d","sm9222","membranefiltration"
"103","acap_1355","grabsample","membrane",20,"sm9222d","sm9222","membranefiltration"
"104","acap_1362","grabsample","membrane",70,"sm9222d","sm9222","membranefiltration"
"105","acap_1356","grabsample","membrane",20,"sm9222d","sm9222","membranefiltration"
"106","acap_1376","grabsample","membrane",813,"sm9222d","sm9222","membranefiltration"
"107","acap_1374","grabsample","membrane",380,"sm9222d","sm9222","membranefiltration"
"108","acap_1375","grabsample","membrane",710,"sm9222d","sm9222","membranefiltration"
"109","acap_1377","grabsample","membrane",1060,"sm9222d","sm9222","membranefiltration"
"110","acap_1372","grabsample","membrane",130,"sm9222d","sm9222","membranefiltration"
"111","acap_1366","grabsample","membrane",95,"sm9222d","sm9222","membranefiltration"
"112","acap_1368","grabsample","membrane",100,"sm9222d","sm9222","membranefiltration"
"113","acap_1182","grabsample","membrane",23.4,"sm9222d","sm9222","membranefiltration"
"114","acap_1176","grabsample","membrane",17.2,"sm9222d","sm9222","membranefiltration"
"115","acap_1179","grabsample","membrane",21,"sm9222d","sm9222","membranefiltration"
"116","acap_1177","grabsample","membrane",19,"sm9222d","sm9222","membranefiltration"
"117","acap_1181","grabsample","membrane",22,"sm9222d","sm9222","membranefiltration"
"118","acap_1165","grabsample","membrane",8.2,"sm9222d","sm9222","membranefiltration"
"119","acap_1175","grabsample","membrane",17,"sm9222d","sm9222","membranefiltration"
"120","acap_1180","grabsample","membrane",22,"sm9222d","sm9222","membranefiltration"
"121","acap_1178","grabsample","membrane",20,"sm9222d","sm9222","membranefiltration"
"122","acap_177","grabsample","membrane",14,"sm9222d","sm9222","membranefiltration"
"123","acap_181","grabsample","membrane",16.6,"sm9222d","sm9222","membranefiltration"
"124","acap_167","grabsample","membrane",5.4,"sm9222d","sm9222","membranefiltration"
"125","acap_174","grabsample","membrane",10.7,"sm9222d","sm9222","membranefiltration"
"126","acap_178","grabsample","membrane",14.3,"sm9222d","sm9222","membranefiltration"
"127","acap_162","grabsample","membrane",5,"sm9222d","sm9222","membranefiltration"
"128","acap_186","grabsample","membrane",24.6,"sm9222d","sm9222","membranefiltration"
"129","acap_183","grabsample","membrane",21.9,"sm9222d","sm9222","membranefiltration"
"130","acap_179","grabsample","membrane",15.7,"sm9222d","sm9222","membranefiltration"
"131","acap_166","grabsample","membrane",5.2,"sm9222d","sm9222","membranefiltration"
"132","acap_222","grabsample","membrane",20,"sm9222d","sm9222","membranefiltration"
"133","acap_253","grabsample","membrane",110,"sm9222d","sm9222","membranefiltration"
"134","acap_223","grabsample","membrane",20,"sm9222d","sm9222","membranefiltration"
"135","acap_496","grabsample","membrane",580,"sm9222d","sm9222","membranefiltration"
"136","acap_500","grabsample","membrane",1570,"sm9222d","sm9222","membranefiltration"
"137","acap_503","grabsample","membrane",3440,"sm9222d","sm9222","membranefiltration"
"138","acap_508","grabsample","membrane",6300,"sm9222d","sm9222","membranefiltration"
"139","acap_277","grabsample","membrane",105,"sm9222d","sm9222","membranefiltration"
"140","acap_843","grabsample","membrane",40950,"sm9222d","sm9222","membranefiltration"
"141","acap_845","grabsample","membrane",51975,"sm9222d","sm9222","membranefiltration"
"142","acap_818","grabsample","membrane",1250,"sm9222d","sm9222","membranefiltration"
"143","acap_829","grabsample","membrane",14050,"sm9222d","sm9222","membranefiltration"
