"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"31","oei_26","grabsample","membrane",42,"sm9222g","membranefiltration","membranefiltration",8,"sm9230c","membranefiltration","membranefiltration",40,"sm9222d","sm9222","membranefiltration",980,"sm9222b","sm9222","membranefiltration"
"32","oei_2401","grabsample","membrane",2,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",2,"sm9222b","sm9222","membranefiltration"
"33","oei_2514","grabsample","membrane",1954,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,2000,"sm9222d","sm9222","membranefiltration",14550,"sm9222b","sm9222","membranefiltration"
"34","oei_2518","grabsample","membrane",2,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",2,"sm9222b","sm9222","membranefiltration"
"35","oei_2521","grabsample","membrane",21,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,20,"sm9222d","sm9222","membranefiltration",4480,"sm9222b","sm9222","membranefiltration"
"36","oei_2525","grabsample","membrane",2,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",4,"sm9222b","sm9222","membranefiltration"
"37","oei_2404","grabsample","membrane",2,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",54,"sm9222b","sm9222","membranefiltration"
"38","oei_2407","grabsample","membrane",1462,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,1909,"sm9222d","sm9222","membranefiltration",14550,"sm9222b","sm9222","membranefiltration"
"39","oei_2527","grabsample","membrane",2,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",57,"sm9222b","sm9222","membranefiltration"
"40","oei_525","grabsample","membrane",900,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,560,"sm9222d","sm9222","membranefiltration",1500,"sm9222b","sm9222","membranefiltration"
"41","oe1_2777","grabsample","membrane",1050,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,460,"sm9222d","sm9222","membranefiltration",1350,"sm9222b","sm9222","membranefiltration"
"42","oei_522","grabsample","membrane",4,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,10,"sm9222d","sm9222","membranefiltration",1380,"sm9222b","sm9222","membranefiltration"
"43","oei_486","grabsample","membrane",60,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,63,"sm9222d","sm9222","membranefiltration",6932,"sm9222b","sm9222","membranefiltration"
"44","oei_93","grabsample","membrane",25,"sm9222g","membranefiltration","membranefiltration",8,"sm9230c","membranefiltration","membranefiltration",191,"sm9222d","sm9222","membranefiltration",200,"sm9222b","sm9222","membranefiltration"
"45","oei_435","grabsample","membrane",14520,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,15000,"sm9222d","sm9222","membranefiltration",14520,"sm9222b","sm9222","membranefiltration"
"46","oei_84","grabsample","membrane",100,"sm9222g","membranefiltration","membranefiltration",33,"sm9230c","membranefiltration","membranefiltration",260,"sm9222d","sm9222","membranefiltration",600,"sm9222b","sm9222","membranefiltration"
"47","oei_85","grabsample","membrane",25,"sm9222g","membranefiltration","membranefiltration",5,"sm9230c","membranefiltration","membranefiltration",2300,"sm9222d","sm9222","membranefiltration",370,"sm9222b","sm9222","membranefiltration"
"48","oei_99","grabsample","membrane",370,"sm9222g","membranefiltration","membranefiltration",101,"sm9230c","membranefiltration","membranefiltration",1000,"sm9222d","sm9222","membranefiltration",3840,"sm9222b","sm9222","membranefiltration"
"49","oei_71","grabsample","membrane",176,"sm9222g","membranefiltration","membranefiltration",27,"sm9230c","membranefiltration","membranefiltration",170,"sm9222d","sm9222","membranefiltration",2240,"sm9222b","sm9222","membranefiltration"
"50","oe1_2776","grabsample","membrane",14520,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,16000,"sm9222d","sm9222","membranefiltration",9680,"sm9222b","sm9222","membranefiltration"
"51","oei_91","grabsample","membrane",50,"sm9222g","membranefiltration","membranefiltration",2,"sm9230c","membranefiltration","membranefiltration",154,"sm9222d","sm9222","membranefiltration",200,"sm9222b","sm9222","membranefiltration"
"52","oei_2530","grabsample","membrane",2,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",1230,"sm9222b","sm9222","membranefiltration"
"53","oei_560","grabsample","membrane",25,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",25,"sm9222b","sm9222","membranefiltration"
