"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"63","bwr_16","grabsample","none",0,"bwr","directplating","directplating",233.25,"bwr","directplating","directplating"
"64","bwr_18","grabsample","none",16.665,"bwr","directplating","directplating",266.66,"bwr","directplating","directplating"
"65","bwr_21","grabsample","none",66.665,"bwr","directplating","directplating",216.665,"bwr","directplating","directplating"
"66","bwr_24","grabsample","none",66.66,"bwr","directplating","directplating",1533.25,"bwr","directplating","directplating"
"67","bwr_22","grabsample","none",16.665,"bwr","directplating","directplating",216.65,"bwr","directplating","directplating"
"68","bwr_23","grabsample","none",199.985,"bwr","directplating","directplating",2099.895,"bwr","directplating","directplating"
"69","bwr_58","grabsample","none",133.32,"bwr","directplating","directplating",4183.135,"bwr","directplating","directplating"
"70","bwr_6","grabsample","none",0,"bwr","directplating","directplating",533.305,"bwr","directplating","directplating"
"71","bwr_2","grabsample","none",33.3,"bwr","directplating","directplating",316.4,"bwr","directplating","directplating"
"72","bwr_7","grabsample","none",16.665,"bwr","directplating","directplating",549.97,"bwr","directplating","directplating"
"73","bwr_4","grabsample","none",16.65,"bwr","directplating","directplating",599.7,"bwr","directplating","directplating"
"74","bwr_5","grabsample","none",16.5,"bwr","directplating","directplating",1177.5,"bwr","directplating","directplating"
"75","bwr_3","grabsample","none",0,"bwr","directplating","directplating",316.5,"bwr","directplating","directplating"
"76","bwr_1","grabsample","none",0,"bwr","directplating","directplating",932,"bwr","directplating","directplating"
"77","bwr_8","grabsample","none",1749.905,"bwr","directplating","directplating",5700,"bwr","directplating","directplating"
"78","bwr_13","grabsample","none",0,"bwr","directplating","directplating",1433.26,"bwr","directplating","directplating"
"79","bwr_9","grabsample","none",366.655,"bwr","directplating","directplating",2066.58,"bwr","directplating","directplating"
"80","bwr_10","grabsample","none",66.665,"bwr","directplating","directplating",683.295,"bwr","directplating","directplating"
"81","bwr_11","grabsample","none",666.635,"bwr","directplating","directplating",5000,"bwr","directplating","directplating"
"82","bwr_12","grabsample","none",999.945,"bwr","directplating","directplating",5700,"bwr","directplating","directplating"
"83","bwr_38","grabsample","none",732.95,"bwr","directplating","directplating",7100,"bwr","directplating","directplating"
