"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","fc","fc_methodf","fc_methodm","fc_methodc"
"51","cbf_477","grabsample","none",15,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"52","cbf_482","grabsample","none",9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,37,"idexxquantitray","mpn","mpn"
"53","cbf_469","grabsample","none",37,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,52,"idexxquantitray","mpn","mpn"
"54","cbf_475","grabsample","none",28,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"55","cbf_476","grabsample","none",27,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"56","cbf_473","grabsample","none",272,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"57","cbf_558","grabsample","none",129,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"58","cbf_561","grabsample","none",91,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,99,"idexxquantitray","mpn","mpn"
"59","cbf_553","grabsample","none",160,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"60","cbf_507","grabsample","none",2420,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"61","cbf_508","grabsample","none",66,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,220,"idexxquantitray","mpn","mpn"
"62","cbf_551","grabsample","none",236,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"63","cbf_501","grabsample","none",461,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"64","cbf_556","grabsample","none",980,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"65","cbf_502","grabsample","none",91,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"66","cbf_563","grabsample","none",58,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,79,"idexxquantitray","mpn","mpn"
"67","cbf_500","grabsample","none",18,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"68","cbf_504","grabsample","none",16,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"69","cbf_550","grabsample","none",122,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"70","cbf_552","grabsample","none",115,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"71","cbf_497","grabsample","none",23,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,46,"idexxquantitray","mpn","mpn"
"72","cbf_560","grabsample","none",143,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"73","cbf_503","grabsample","none",16,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"74","cbf_559","grabsample","none",44,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,97,"idexxquantitray","mpn","mpn"
"75","cbf_555","grabsample","none",488,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"76","cbf_506","grabsample","none",146,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,310,"idexxquantitray","mpn","mpn"
