"","scri_sample_id","sample_type","sample_filter","fc","fc_methodf","fc_methodm","fc_methodc"
"79","wq_4999","grabsample","membrane",380,"sm9222d","sm9222","membranefiltration"
"80","wq_5007","grabsample","membrane",80,"sm9222d","sm9222","membranefiltration"
"81","wq_5005","grabsample","membrane",220,"sm9222d","sm9222","membranefiltration"
"82","wq_4998","grabsample","membrane",130,"sm9222d","sm9222","membranefiltration"
"83","wq_5001","grabsample","membrane",390,"sm9222d","sm9222","membranefiltration"
"84","wq_5008","grabsample","membrane",51,"sm9222d","sm9222","membranefiltration"
"85","wq_5003","grabsample","membrane",440,"sm9222d","sm9222","membranefiltration"
"86","wq_5002","grabsample","membrane",1600,"sm9222d","sm9222","membranefiltration"
"87","wq_5024","grabsample","membrane",100,"sm9222d","sm9222","membranefiltration"
"88","wq_5027","grabsample","membrane",59,"sm9222d","sm9222","membranefiltration"
"89","wq_5023","grabsample","membrane",72,"sm9222d","sm9222","membranefiltration"
"90","wq_5018","grabsample","membrane",160,"sm9222d","sm9222","membranefiltration"
"91","wq_5022","grabsample","membrane",400,"sm9222d","sm9222","membranefiltration"
"92","wq_5025","grabsample","membrane",75,"sm9222d","sm9222","membranefiltration"
"93","wq_5020","grabsample","membrane",250,"sm9222d","sm9222","membranefiltration"
"94","wq_5026","grabsample","membrane",47,"sm9222d","sm9222","membranefiltration"
"95","wq_5019","grabsample","membrane",160,"sm9222d","sm9222","membranefiltration"
"96","wq_5017","grabsample","membrane",84,"sm9222d","sm9222","membranefiltration"
"97","wq_5021","grabsample","membrane",580,"sm9222d","sm9222","membranefiltration"
"98","wq_5028","grabsample","membrane",21,"sm9222d","sm9222","membranefiltration"
"99","wq_5150","grabsample","membrane",2200,"sm9222d","sm9222","membranefiltration"
"100","wq_5152","grabsample","membrane",580,"sm9222d","sm9222","membranefiltration"
"101","wq_5156","grabsample","membrane",270,"sm9222d","sm9222","membranefiltration"
"102","wq_5154","grabsample","membrane",390,"sm9222d","sm9222","membranefiltration"
"103","wq_5153","grabsample","membrane",560,"sm9222d","sm9222","membranefiltration"
"104","wq_5151","grabsample","membrane",920,"sm9222d","sm9222","membranefiltration"
"105","wq_5149","grabsample","membrane",670,"sm9222d","sm9222","membranefiltration"
"106","wq_5148","grabsample","membrane",1500,"sm9222d","sm9222","membranefiltration"
"107","wq_5157","grabsample","membrane",280,"sm9222d","sm9222","membranefiltration"
"108","wq_5147","grabsample","membrane",390,"sm9222d","sm9222","membranefiltration"
"109","wq_5146","grabsample","membrane",580,"sm9222d","sm9222","membranefiltration"
"110","wq_5155","grabsample","membrane",480,"sm9222d","sm9222","membranefiltration"
"111","wq_4932","grabsample","membrane",840,"sm9222d","sm9222","membranefiltration"
"112","wq_4933","grabsample","membrane",220,"sm9222d","sm9222","membranefiltration"
"113","wq_4930","grabsample","membrane",1200,"sm9222d","sm9222","membranefiltration"
"114","wq_4934","grabsample","membrane",170,"sm9222d","sm9222","membranefiltration"
"115","wq_4931","grabsample","membrane",420,"sm9222d","sm9222","membranefiltration"
"116","wq_4952","grabsample","membrane",260,"sm9222d","sm9222","membranefiltration"
"117","wq_4954","grabsample","membrane",88,"sm9222d","sm9222","membranefiltration"
"118","wq_4953","grabsample","membrane",88,"sm9222d","sm9222","membranefiltration"
"119","wq_4951","grabsample","membrane",650,"sm9222d","sm9222","membranefiltration"
"120","wq_4955","grabsample","membrane",110,"sm9222d","sm9222","membranefiltration"
"121","wq_4964","grabsample","membrane",44,"sm9222d","sm9222","membranefiltration"
"122","wq_28357","grabsample","membrane",79,"sm9222d","sm9222","membranefiltration"
"123","wq_28355","grabsample","membrane",1400,"sm9222d","sm9222","membranefiltration"
"124","wq_28356","grabsample","membrane",140,"sm9222d","sm9222","membranefiltration"
"125","wq_28358","grabsample","membrane",44,"sm9222d","sm9222","membranefiltration"
"126","wq_30258","grabsample","membrane",700,"sm9222d","sm9222","membranefiltration"
"127","wq_30247","grabsample","membrane",700,"sm9222d","sm9222","membranefiltration"
"128","wq_30259","grabsample","membrane",120,"sm9222d","sm9222","membranefiltration"
"129","wq_30248","grabsample","membrane",200,"sm9222d","sm9222","membranefiltration"
"130","wq_30249","grabsample","membrane",17,"sm9222d","sm9222","membranefiltration"
"131","wq_30275","grabsample","membrane",57,"sm9222d","sm9222","membranefiltration"
"132","wq_30240","grabsample","membrane",20,"sm9222d","sm9222","membranefiltration"
"133","wq_30276","grabsample","membrane",110,"sm9222d","sm9222","membranefiltration"
"134","wq_30233","grabsample","membrane",140,"sm9222d","sm9222","membranefiltration"
"135","wq_30234","grabsample","membrane",110,"sm9222d","sm9222","membranefiltration"
"136","wq_30274","grabsample","membrane",1000,"sm9222d","sm9222","membranefiltration"
"137","wq_30232","grabsample","membrane",390,"sm9222d","sm9222","membranefiltration"
"138","wq_28349","grabsample","membrane",3,"sm9222d","sm9222","membranefiltration"
"139","wq_28348","grabsample","membrane",10,"sm9222d","sm9222","membranefiltration"
"140","wq_28341","grabsample","membrane",18,"sm9222d","sm9222","membranefiltration"
"141","wq_28338","grabsample","membrane",210,"sm9222d","sm9222","membranefiltration"
"142","wq_28339","grabsample","membrane",49,"sm9222d","sm9222","membranefiltration"
"143","wq_28340","grabsample","membrane",11,"sm9222d","sm9222","membranefiltration"
"144","wq_28329","grabsample","membrane",490,"sm9222d","sm9222","membranefiltration"
"145","wq_28331","grabsample","membrane",65,"sm9222d","sm9222","membranefiltration"
"146","wq_28330","grabsample","membrane",89,"sm9222d","sm9222","membranefiltration"
"147","wq_28328","grabsample","membrane",640,"sm9222d","sm9222","membranefiltration"
"148","wq_28420","grabsample","membrane",240,"sm9222d","sm9222","membranefiltration"
"149","wq_28422","grabsample","membrane",37,"sm9222d","sm9222","membranefiltration"
"150","wq_28421","grabsample","membrane",23,"sm9222d","sm9222","membranefiltration"
"151","wq_28418","grabsample","membrane",2500,"sm9222d","sm9222","membranefiltration"
"152","wq_28419","grabsample","membrane",150,"sm9222d","sm9222","membranefiltration"
"153","wq_28365","grabsample","membrane",49,"sm9222d","sm9222","membranefiltration"
"154","wq_28366","grabsample","membrane",96,"sm9222d","sm9222","membranefiltration"
"155","wq_28367","grabsample","membrane",13,"sm9222d","sm9222","membranefiltration"
"156","wq_28368","grabsample","membrane",61,"sm9222d","sm9222","membranefiltration"
"157","wq_28364","grabsample","membrane",580,"sm9222d","sm9222","membranefiltration"
"158","wq_28378","grabsample","membrane",110,"sm9222d","sm9222","membranefiltration"
"159","wq_28379","grabsample","membrane",14,"sm9222d","sm9222","membranefiltration"
"160","wq_28380","grabsample","membrane",31,"sm9222d","sm9222","membranefiltration"
"161","wq_28377","grabsample","membrane",47,"sm9222d","sm9222","membranefiltration"
"162","wq_28376","grabsample","membrane",160,"sm9222d","sm9222","membranefiltration"
"163","wq_28409","grabsample","membrane",320,"sm9222d","sm9222","membranefiltration"
"164","wq_28408","grabsample","membrane",80,"sm9222d","sm9222","membranefiltration"
"165","wq_28411","grabsample","membrane",100,"sm9222d","sm9222","membranefiltration"
"166","wq_28407","grabsample","membrane",3000,"sm9222d","sm9222","membranefiltration"
"167","wq_28410","grabsample","membrane",45,"sm9222d","sm9222","membranefiltration"
"168","wq_28389","grabsample","membrane",43,"sm9222d","sm9222","membranefiltration"
"169","wq_28387","grabsample","membrane",110,"sm9222d","sm9222","membranefiltration"
"170","wq_28388","grabsample","membrane",20,"sm9222d","sm9222","membranefiltration"
"171","wq_28386","grabsample","membrane",740,"sm9222d","sm9222","membranefiltration"
"172","wq_28398","grabsample","membrane",84,"sm9222d","sm9222","membranefiltration"
"173","wq_28396","grabsample","membrane",140,"sm9222d","sm9222","membranefiltration"
"174","wq_28397","grabsample","membrane",250,"sm9222d","sm9222","membranefiltration"
"175","wq_28400","grabsample","membrane",68,"sm9222d","sm9222","membranefiltration"
"176","wq_28399","grabsample","membrane",18,"sm9222d","sm9222","membranefiltration"
"177","wq_5109","grabsample","membrane",14,"sm9222d","sm9222","membranefiltration"
"178","wq_5111","grabsample","membrane",110,"sm9222d","sm9222","membranefiltration"
"179","wq_5110","grabsample","membrane",7,"sm9222d","sm9222","membranefiltration"
"180","wq_5112","grabsample","membrane",150,"sm9222d","sm9222","membranefiltration"
"181","wq_5106","grabsample","membrane",24,"sm9222d","sm9222","membranefiltration"
"182","wq_5107","grabsample","membrane",15,"sm9222d","sm9222","membranefiltration"
"183","wq_5108","grabsample","membrane",7,"sm9222d","sm9222","membranefiltration"
"184","wq_5133","grabsample","membrane",53,"sm9222d","sm9222","membranefiltration"
"185","wq_5137","grabsample","membrane",340,"sm9222d","sm9222","membranefiltration"
"186","wq_5136","grabsample","membrane",71,"sm9222d","sm9222","membranefiltration"
"187","wq_5140","grabsample","membrane",80,"sm9222d","sm9222","membranefiltration"
"188","wq_5141","grabsample","membrane",190,"sm9222d","sm9222","membranefiltration"
"189","wq_5135","grabsample","membrane",240,"sm9222d","sm9222","membranefiltration"
"190","wq_5130","grabsample","membrane",27,"sm9222d","sm9222","membranefiltration"
"191","wq_5129","grabsample","membrane",140,"sm9222d","sm9222","membranefiltration"
"192","wq_5131","grabsample","membrane",360,"sm9222d","sm9222","membranefiltration"
"193","wq_5138","grabsample","membrane",82,"sm9222d","sm9222","membranefiltration"
"194","wq_5139","grabsample","membrane",430,"sm9222d","sm9222","membranefiltration"
"195","wq_5134","grabsample","membrane",120,"sm9222d","sm9222","membranefiltration"
"196","wq_5132","grabsample","membrane",17,"sm9222d","sm9222","membranefiltration"
"197","wq_5086","grabsample","membrane",51,"sm9222d","sm9222","membranefiltration"
"198","wq_5088","grabsample","membrane",12,"sm9222d","sm9222","membranefiltration"
"199","wq_5090","grabsample","membrane",13,"sm9222d","sm9222","membranefiltration"
"200","wq_5091","grabsample","membrane",300,"sm9222d","sm9222","membranefiltration"
"201","wq_5092","grabsample","membrane",96,"sm9222d","sm9222","membranefiltration"
"202","wq_5087","grabsample","membrane",29,"sm9222d","sm9222","membranefiltration"
"203","wq_5089","grabsample","membrane",10,"sm9222d","sm9222","membranefiltration"
"204","wq_5069","grabsample","membrane",1,"sm9222d","sm9222","membranefiltration"
"205","wq_5067","grabsample","membrane",15,"sm9222d","sm9222","membranefiltration"
"206","wq_5071","grabsample","membrane",2,"sm9222d","sm9222","membranefiltration"
"207","wq_5073","grabsample","membrane",39,"sm9222d","sm9222","membranefiltration"
"208","wq_5072","grabsample","membrane",31,"sm9222d","sm9222","membranefiltration"
"209","wq_5070","grabsample","membrane",2,"sm9222d","sm9222","membranefiltration"
"210","wq_5068","grabsample","membrane",2,"sm9222d","sm9222","membranefiltration"
"211","wq_4992","grabsample","membrane",20,"sm9222d","sm9222","membranefiltration"
"212","wq_4994","grabsample","membrane",84,"sm9222d","sm9222","membranefiltration"
"213","wq_4996","grabsample","membrane",160,"sm9222d","sm9222","membranefiltration"
"214","wq_4993","grabsample","membrane",200,"sm9222d","sm9222","membranefiltration"
"215","wq_4997","grabsample","membrane",180,"sm9222d","sm9222","membranefiltration"
"216","wq_4991","grabsample","membrane",160,"sm9222d","sm9222","membranefiltration"
"217","wq_4995","grabsample","membrane",130,"sm9222d","sm9222","membranefiltration"
"218","wq_5051","grabsample","membrane",13,"sm9222d","sm9222","membranefiltration"
"219","wq_5052","grabsample","membrane",8,"sm9222d","sm9222","membranefiltration"
"220","wq_5053","grabsample","membrane",100,"sm9222d","sm9222","membranefiltration"
"221","wq_5050","grabsample","membrane",7,"sm9222d","sm9222","membranefiltration"
"222","wq_5049","grabsample","membrane",6,"sm9222d","sm9222","membranefiltration"
"223","wq_5054","grabsample","membrane",64,"sm9222d","sm9222","membranefiltration"
"224","wq_5048","grabsample","membrane",16,"sm9222d","sm9222","membranefiltration"
"225","wq_5016","grabsample","membrane",180,"sm9222d","sm9222","membranefiltration"
"226","wq_5015","grabsample","membrane",270,"sm9222d","sm9222","membranefiltration"
"227","wq_5014","grabsample","membrane",160,"sm9222d","sm9222","membranefiltration"
"228","wq_5010","grabsample","membrane",130,"sm9222d","sm9222","membranefiltration"
"229","wq_5012","grabsample","membrane",220,"sm9222d","sm9222","membranefiltration"
"230","wq_5013","grabsample","membrane",120,"sm9222d","sm9222","membranefiltration"
"231","wq_5011","grabsample","membrane",28,"sm9222d","sm9222","membranefiltration"
"232","wq_5035","grabsample","membrane",150,"sm9222d","sm9222","membranefiltration"
"233","wq_5031","grabsample","membrane",9,"sm9222d","sm9222","membranefiltration"
"234","wq_5033","grabsample","membrane",10,"sm9222d","sm9222","membranefiltration"
"235","wq_5032","grabsample","membrane",15,"sm9222d","sm9222","membranefiltration"
"236","wq_5034","grabsample","membrane",150,"sm9222d","sm9222","membranefiltration"
"237","wq_5029","grabsample","membrane",29,"sm9222d","sm9222","membranefiltration"
"238","wq_5030","grabsample","membrane",31,"sm9222d","sm9222","membranefiltration"
"239","wq_5168","grabsample","membrane",390,"sm9222d","sm9222","membranefiltration"
"240","wq_5159","grabsample","membrane",340,"sm9222d","sm9222","membranefiltration"
"241","wq_5169","grabsample","membrane",180,"sm9222d","sm9222","membranefiltration"
"242","wq_5161","grabsample","membrane",23,"sm9222d","sm9222","membranefiltration"
"243","wq_5170","grabsample","membrane",110,"sm9222d","sm9222","membranefiltration"
"244","wq_5158","grabsample","membrane",1300,"sm9222d","sm9222","membranefiltration"
"245","wq_5160","grabsample","membrane",88,"sm9222d","sm9222","membranefiltration"
"246","wq_5166","grabsample","membrane",420,"sm9222d","sm9222","membranefiltration"
"247","wq_5163","grabsample","membrane",590,"sm9222d","sm9222","membranefiltration"
"248","wq_5164","grabsample","membrane",520,"sm9222d","sm9222","membranefiltration"
"249","wq_5167","grabsample","membrane",3100,"sm9222d","sm9222","membranefiltration"
"250","wq_5165","grabsample","membrane",340,"sm9222d","sm9222","membranefiltration"
"251","wq_5162","grabsample","membrane",340,"sm9222d","sm9222","membranefiltration"
"252","wq_4938","grabsample","membrane",96,"sm9222d","sm9222","membranefiltration"
"253","wq_4941","grabsample","membrane",380,"sm9222d","sm9222","membranefiltration"
