"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"52","ccu_497","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"53","ccu_498","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,33,"ccu","directplating","directplating"
"54","ccu_493","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"55","ccu_512","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"56","ccu_494","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"57","ccu_495","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"58","ccu_496","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"59","ccu_499","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"60","ccu_500","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"61","ccu_510","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"62","ccu_503","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"63","ccu_513","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,200,"ccu","directplating","directplating"
"64","ccu_504","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,198,"ccu","directplating","directplating"
"65","ccu_507","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,33,"ccu","directplating","directplating"
"66","ccu_505","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,133,"ccu","directplating","directplating"
"67","ccu_610","grabsample","none",34,"ccu","directplating","directplating",NA,NA,NA,NA,400,"ccu","directplating","directplating"
"68","ccu_509","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,133,"ccu","directplating","directplating"
"69","ccu_502","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"70","ccu_501","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"71","ccu_506","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,67,"ccu","directplating","directplating"
"72","ccu_508","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,467,"ccu","directplating","directplating"
"73","ccu_611","grabsample","none",67,"ccu","directplating","directplating",NA,NA,NA,NA,67,"ccu","directplating","directplating"
"74","ccu_5463","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,466,"ccu","directplating","directplating"
"75","ccu_5452","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"76","ccu_5461","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,200,"ccu","directplating","directplating"
"77","ccu_5464","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,133,"ccu","directplating","directplating"
